source,target,weight,label
Pumped Up Kicks,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,11,11
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Drive By,13,13
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Somebody That I Used To Know,22,22
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Thrift Shop (feat. Wanz),33,33
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Some Nights,67,67
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Radioactive,25,25
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Little Talks,35,35
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Home,35,35
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Take a Walk,12,12
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Can't Hold Us - feat. Ray Dalton,20,20
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Blurred Lines,15,15
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Midnight City,18,18
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Little Lion Man,17,17
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Sail,12,12
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],22,22
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Party Rock Anthem,17,17
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Feel So Close - Radio Edit,14,14
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Sexy And I Know It,12,12
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,What Makes You Beautiful,17,17
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,I Won't Give Up,14,14
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Payphone,13,13
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Lights - Single Version,11,11
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Where Have You Been,15,15
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Boyfriend,13,13
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,We Found Love,17,17
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Glad You Came,13,13
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Everybody Talks,15,15
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Ni**as In Paris,11,11
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Rolling in the Deep,11,11
Some Nights,Little Talks,47,47
Some Nights,Feel So Close - Radio Edit,15,15
Some Nights,Titanium (feat. Sia) - feat. Sia,36,36
Some Nights,One More Night,20,20
Some Nights,Ho Hey,49,49
Some Nights,Locked Out Of Heaven,30,30
Some Nights,It's Time,38,38
Some Nights,I Won't Give Up,17,17
Some Nights,Radioactive,35,35
Some Nights,Take a Walk,14,14
Some Nights,I Will Wait,21,21
Some Nights,Can't Hold Us - feat. Ray Dalton,34,34
Some Nights,Blurred Lines,19,19
Some Nights,Just Give Me a Reason,14,14
Some Nights,Ni**as In Paris,11,11
Some Nights,Pumped Up Kicks,11,11
Some Nights,Too Close,14,14
Some Nights,Where Have You Been,12,12
Some Nights,What Makes You Beautiful,13,13
Some Nights,Midnight City,13,13
Some Nights,Die Young,14,14
Some Nights,Payphone,13,13
Some Nights,Somebody That I Used To Know,19,19
Some Nights,Boyfriend,12,12
Some Nights,We Found Love,11,11
Some Nights,The A Team,11,11
Some Nights,Everybody Talks,14,14
Some Nights,Good Time,17,17
Some Nights,Gangnam Style (강남스타일),15,15
Some Nights,Don't You Worry Child (Radio Edit) [feat. John Martin],12,12
Little Talks,Feel So Close - Radio Edit,11,11
Little Talks,Titanium (feat. Sia) - feat. Sia,33,33
Little Talks,One More Night,11,11
Little Talks,Ho Hey,60,60
Little Talks,Locked Out Of Heaven,28,28
Little Talks,It's Time,54,54
Little Talks,I Won't Give Up,12,12
Little Talks,I Will Wait,20,20
Little Talks,Take a Walk,20,20
Little Talks,Home,51,51
Little Talks,Daylight,18,18
Little Talks,Can't Hold Us - feat. Ray Dalton,25,25
Little Talks,Blurred Lines,24,24
Little Talks,Thrift Shop (feat. Wanz),25,25
Little Talks,I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],22,22
Little Talks,Too Close,17,17
Little Talks,Midnight City,15,15
Little Talks,Little Lion Man,12,12
Little Talks,Cruise,13,13
Little Talks,On Top Of The World,11,11
Little Talks,Stubborn Love,18,18
Feel So Close - Radio Edit,Titanium (feat. Sia) - feat. Sia,16,16
Titanium (feat. Sia) - feat. Sia,One More Night,17,17
Titanium (feat. Sia) - feat. Sia,Ho Hey,27,27
Titanium (feat. Sia) - feat. Sia,Locked Out Of Heaven,28,28
Titanium (feat. Sia) - feat. Sia,It's Time,25,25
Titanium (feat. Sia) - feat. Sia,I Won't Give Up,11,11
Titanium (feat. Sia) - feat. Sia,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,40,40
Titanium (feat. Sia) - feat. Sia,Radioactive,31,31
Titanium (feat. Sia) - feat. Sia,Thrift Shop (feat. Wanz),38,38
Titanium (feat. Sia) - feat. Sia,Home,15,15
Titanium (feat. Sia) - feat. Sia,I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],25,25
Titanium (feat. Sia) - feat. Sia,Blurred Lines,19,19
Titanium (feat. Sia) - feat. Sia,Too Close,16,16
Titanium (feat. Sia) - feat. Sia,Die Young,14,14
Titanium (feat. Sia) - feat. Sia,We Are Never Ever Getting Back Together,11,11
Titanium (feat. Sia) - feat. Sia,Drive By,11,11
Titanium (feat. Sia) - feat. Sia,Don't Wake Me Up,20,20
Titanium (feat. Sia) - feat. Sia,Starships,12,12
Titanium (feat. Sia) - feat. Sia,Levels - Radio Edit,12,12
Titanium (feat. Sia) - feat. Sia,Somebody That I Used To Know,16,16
Titanium (feat. Sia) - feat. Sia,Where Have You Been,14,14
Titanium (feat. Sia) - feat. Sia,Turn Me On (feat. Nicki Minaj) - feat. Nicki Minaj,11,11
Titanium (feat. Sia) - feat. Sia,Boyfriend,15,15
Titanium (feat. Sia) - feat. Sia,We Found Love,13,13
Titanium (feat. Sia) - feat. Sia,What Makes You Beautiful,11,11
Titanium (feat. Sia) - feat. Sia,Glad You Came,11,11
Titanium (feat. Sia) - feat. Sia,Everybody Talks,13,13
Titanium (feat. Sia) - feat. Sia,Sexy And I Know It,11,11
Titanium (feat. Sia) - feat. Sia,Sweet Nothing,12,12
One More Night,Ho Hey,14,14
One More Night,Locked Out Of Heaven,14,14
One More Night,It's Time,11,11
One More Night,Can't Hold Us - feat. Ray Dalton,15,15
One More Night,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,11,11
Ho Hey,Locked Out Of Heaven,40,40
Ho Hey,It's Time,72,72
Ho Hey,I Won't Give Up,12,12
Ho Hey,I Will Wait,23,23
Ho Hey,Too Close,16,16
Ho Hey,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,37,37
Ho Hey,Somebody That I Used To Know,13,13
Ho Hey,Hall of Fame,13,13
Ho Hey,Sail,12,12
Ho Hey,Take a Walk,18,18
Ho Hey,Sweet Nothing,14,14
Ho Hey,I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],25,25
Ho Hey,Daylight,13,13
Ho Hey,Animal,11,11
Ho Hey,Can't Hold Us - feat. Ray Dalton,32,32
Ho Hey,Blurred Lines,20,20
Ho Hey,Just Give Me a Reason,16,16
Ho Hey,Anything Could Happen,14,14
Ho Hey,Cruise,14,14
Ho Hey,Die Young,13,13
Ho Hey,Stubborn Love,17,17
Ho Hey,Don't You Worry Child (Radio Edit) [feat. John Martin],12,12
Locked Out Of Heaven,It's Time,31,31
Locked Out Of Heaven,I Will Wait,13,13
Locked Out Of Heaven,Too Close,15,15
Locked Out Of Heaven,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,26,26
Locked Out Of Heaven,Daylight,12,12
Locked Out Of Heaven,The A Team,11,11
Locked Out Of Heaven,Sail,14,14
Locked Out Of Heaven,Diamonds,13,13
Locked Out Of Heaven,Die Young,16,16
Locked Out Of Heaven,Scream & Shout,13,13
Locked Out Of Heaven,Ni**as In Paris,11,11
Locked Out Of Heaven,Gangnam Style (강남스타일),11,11
Locked Out Of Heaven,Sweet Nothing,21,21
Locked Out Of Heaven,Suit & Tie,11,11
It's Time,I Will Wait,24,24
It's Time,Too Close,14,14
It's Time,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,28,28
It's Time,Somebody That I Used To Know,12,12
It's Time,Tongue Tied,11,11
It's Time,Sail,16,16
It's Time,Take a Walk,22,22
It's Time,Home,42,42
It's Time,Daylight,14,14
It's Time,Can't Hold Us - feat. Ray Dalton,28,28
It's Time,Blurred Lines,19,19
It's Time,Midnight City,14,14
It's Time,Little Lion Man,11,11
It's Time,On Top Of The World,18,18
It's Time,Stubborn Love,18,18
It's Time,Girl On Fire,11,11
I Will Wait,Can't Hold Us - feat. Ray Dalton,15,15
I Will Wait,Blurred Lines,12,12
Too Close,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,17,17
Too Close,Thrift Shop (feat. Wanz),14,14
Somebody That I Used To Know,Little Talks,18,18
Somebody That I Used To Know,Home,11,11
Forever,Thrift Shop (feat. Wanz),12,12
The Motto,Mercy,11,11
The Motto,Thrift Shop (feat. Wanz),11,11
"Young, Wild & Free (feat. Bruno Mars) - feat. Bruno Mars",Thrift Shop (feat. Wanz),12,12
Home,Ho Hey,58,58
Home,Some Nights,50,50
Home,Daylight,14,14
Home,Animal,11,11
Home,Take a Walk,17,17
Home,I Will Wait,21,21
Home,Can't Hold Us - feat. Ray Dalton,27,27
Home,Blurred Lines,22,22
Home,I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],17,17
Home,Locked Out Of Heaven,30,30
Home,Midnight City,13,13
Home,I Won't Give Up,16,16
Home,The Cave,14,14
Home,Little Lion Man,12,12
Home,Electric Feel,11,11
Home,The A Team,11,11
Home,Stubborn Love,11,11
Home,Paradise,11,11
Swimming Pools (Drank),Thrift Shop (feat. Wanz),13,13
Thrift Shop (feat. Wanz),Love Me,14,14
Thrift Shop (feat. Wanz),Mercy,15,15
Thrift Shop (feat. Wanz),Locked Out Of Heaven,50,50
Thrift Shop (feat. Wanz),Can't Hold Us - feat. Ray Dalton,70,70
Thrift Shop (feat. Wanz),Started From the Bottom,13,13
Thrift Shop (feat. Wanz),Ho Hey,45,45
Thrift Shop (feat. Wanz),It's Time,29,29
Thrift Shop (feat. Wanz),Home,25,25
Thrift Shop (feat. Wanz),I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],34,34
Thrift Shop (feat. Wanz),One More Night,21,21
Thrift Shop (feat. Wanz),Suit & Tie,18,18
Thrift Shop (feat. Wanz),Some Nights,44,44
Thrift Shop (feat. Wanz),Mirrors,15,15
Thrift Shop (feat. Wanz),Just Give Me a Reason,18,18
Thrift Shop (feat. Wanz),Ni**as In Paris,25,25
Thrift Shop (feat. Wanz),Harlem Shake,11,11
Thrift Shop (feat. Wanz),Blurred Lines,21,21
Thrift Shop (feat. Wanz),Sail,14,14
Thrift Shop (feat. Wanz),Cruise,11,11
Thrift Shop (feat. Wanz),Midnight City,11,11
Thrift Shop (feat. Wanz),Diamonds,13,13
Thrift Shop (feat. Wanz),Die Young,22,22
Thrift Shop (feat. Wanz),Take Care,14,14
Thrift Shop (feat. Wanz),Starships,11,11
Thrift Shop (feat. Wanz),Scream & Shout,21,21
Thrift Shop (feat. Wanz),Don't You Worry Child (Radio Edit) [feat. John Martin],19,19
Thrift Shop (feat. Wanz),I Cry,15,15
Thrift Shop (feat. Wanz),Sweet Nothing,17,17
Love Me,Can't Hold Us - feat. Ray Dalton,12,12
When I Was Your Man,Thrift Shop (feat. Wanz),12,12
When I Was Your Man,Locked Out Of Heaven,14,14
Can't Hold Us - feat. Ray Dalton,Started From the Bottom,11,11
Can't Hold Us - feat. Ray Dalton,Mirrors,24,24
Can't Hold Us - feat. Ray Dalton,Blurred Lines,52,52
Can't Hold Us - feat. Ray Dalton,Get Lucky - Radio Edit,14,14
Can't Hold Us - feat. Ray Dalton,I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],61,61
Can't Hold Us - feat. Ray Dalton,Heart Attack,13,13
Can't Hold Us - feat. Ray Dalton,My Songs Know What You Did In The Dark (Light Em Up),16,16
Can't Hold Us - feat. Ray Dalton,Anything Could Happen,12,12
Can't Hold Us - feat. Ray Dalton,Locked Out Of Heaven,32,32
Can't Hold Us - feat. Ray Dalton,Titanium (feat. Sia) - feat. Sia,25,25
Can't Hold Us - feat. Ray Dalton,Just Give Me a Reason,19,19
Can't Hold Us - feat. Ray Dalton,Ni**as In Paris,14,14
Can't Hold Us - feat. Ray Dalton,Sail,13,13
Can't Hold Us - feat. Ray Dalton,Die Young,21,21
Can't Hold Us - feat. Ray Dalton,Sweet Nothing,21,21
Can't Hold Us - feat. Ray Dalton,Don't You Worry Child (Radio Edit) [feat. John Martin],11,11
"Work Hard, Play Hard",Thrift Shop (feat. Wanz),13,13
Sail,Little Talks,14,14
Sail,Some Nights,13,13
Sail,Titanium (feat. Sia) - feat. Sia,14,14
Take a Walk,Can't Hold Us - feat. Ray Dalton,12,12
Radioactive,Ho Hey,59,59
Radioactive,I Will Wait,26,26
Radioactive,Little Talks,59,59
Radioactive,It's Time,74,74
Radioactive,Home,47,47
Radioactive,Daylight,20,20
Radioactive,Take a Walk,18,18
Radioactive,Hall of Fame,12,12
Radioactive,Can't Hold Us - feat. Ray Dalton,50,50
Radioactive,Mirrors,20,20
Radioactive,Blurred Lines,35,35
Radioactive,Thrift Shop (feat. Wanz),55,55
Radioactive,When I Was Your Man,14,14
Radioactive,Get Lucky - Radio Edit,11,11
Radioactive,Girl On Fire,15,15
Radioactive,I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],37,37
Radioactive,Locked Out Of Heaven,47,47
Radioactive,One More Night,15,15
Radioactive,Wagon Wheel,12,12
Radioactive,Heart Attack,15,15
Radioactive,My Songs Know What You Did In The Dark (Light Em Up),11,11
Radioactive,Anything Could Happen,13,13
Radioactive,The A Team,12,12
Radioactive,Too Close,18,18
Radioactive,Midnight City,12,12
Radioactive,Madness,11,11
Radioactive,Sail,27,27
Radioactive,Just Give Me a Reason,17,17
Radioactive,Cruise,16,16
Radioactive,Carry On,11,11
Radioactive,Die Young,14,14
Radioactive,We Are Never Ever Getting Back Together,11,11
Radioactive,On Top Of The World,16,16
Radioactive,Stubborn Love,17,17
Radioactive,Sweet Nothing,31,31
Radioactive,Feel This Moment,14,14
Radioactive,The Way,12,12
Radioactive,Somebody That I Used To Know,16,16
Radioactive,Suit & Tie,12,12
Sweet Nothing,I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],21,21
Sweet Nothing,It's Time,16,16
Sweet Nothing,Mirrors,11,11
Sweet Nothing,Home,11,11
Sweet Nothing,Little Talks,14,14
Sweet Nothing,Blurred Lines,20,20
I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],It's Time,24,24
I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],Mirrors,18,18
I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],Locked Out Of Heaven,23,23
I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],Blurred Lines,50,50
I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],Suit & Tie,16,16
I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],I Will Wait,11,11
I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],Some Nights,24,24
I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],Die Young,16,16
I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],22,13,13
Daylight,Can't Hold Us - feat. Ray Dalton,13,13
Daylight,Thrift Shop (feat. Wanz),13,13
Mirrors,Blurred Lines,20,20
Mirrors,Locked Out Of Heaven,13,13
Blurred Lines,Get Lucky,14,14
Blurred Lines,Locked Out Of Heaven,26,26
Get Lucky - Radio Edit,Blurred Lines,11,11
Take Care,Can't Hold Us - feat. Ray Dalton,11,11
Girl On Fire,Locked Out Of Heaven,13,13
Midnight City,Ho Hey,12,12
Midnight City,I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],13,13
Midnight City,Titanium (feat. Sia) - feat. Sia,15,15
Heart Attack,Locked Out Of Heaven,13,13
Anything Could Happen,Locked Out Of Heaven,11,11
Anything Could Happen,Thrift Shop (feat. Wanz),11,11
Anything Could Happen,Little Talks,14,14
The A Team,Titanium (feat. Sia) - feat. Sia,12,12
The A Team,Thrift Shop (feat. Wanz),11,11
The A Team,Little Talks,12,12
The A Team,It's Time,12,12
Suit & Tie,Ho Hey,11,11
Suit & Tie,Can't Hold Us - feat. Ray Dalton,17,17
Carry On,Home,11,11
Just Give Me a Reason,I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],16,16
Just Give Me a Reason,It's Time,14,14
Just Give Me a Reason,Locked Out Of Heaven,11,11
Feel This Moment,Can't Hold Us - feat. Ray Dalton,17,17
Feel This Moment,I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],13,13
Good Time,Ho Hey,12,12
Wild Ones (feat. Sia),We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,17,17
Wild Ones (feat. Sia),Some Nights,16,16
Wild Ones (feat. Sia),Titanium (feat. Sia) - feat. Sia,21,21
Wild Ones (feat. Sia),Thrift Shop (feat. Wanz),11,11
Party Rock Anthem,Some Nights,15,15
Call Me Maybe,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,15,15
Starships,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,19,19
Starships,Some Nights,12,12
Where Have You Been,Thrift Shop (feat. Wanz),14,14
Gangnam Style (강남스타일),Thrift Shop (feat. Wanz),12,12
Cruise,Home,11,11
Die Young,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,11,11
Whistle,Thrift Shop (feat. Wanz),16,16
Whistle,Some Nights,14,14
Payphone,Thrift Shop (feat. Wanz),12,12
Payphone,Titanium (feat. Sia) - feat. Sia,16,16
Payphone,One More Night,11,11
We Found Love,Thrift Shop (feat. Wanz),14,14
Don't Wake Me Up,Thrift Shop (feat. Wanz),11,11
Everybody Talks,Little Talks,15,15
Everybody Talks,Ho Hey,12,12
Everybody Talks,It's Time,11,11
Everybody Talks,Thrift Shop (feat. Wanz),11,11
Dance (A$$) Remix,Thrift Shop (feat. Wanz),11,11
Don't You Worry Child (Radio Edit) [feat. John Martin],Titanium (feat. Sia) - feat. Sia,12,12
Don't You Worry Child (Radio Edit) [feat. John Martin],Radioactive,12,12
The Other Side,Can't Hold Us - feat. Ray Dalton,11,11
