source,target,weight
Radioactive,It's Time,74
Ho Hey,It's Time,72
Thrift Shop (feat. Wanz),Can't Hold Us - feat. Ray Dalton,70
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Some Nights,67
Can't Hold Us - feat. Ray Dalton,I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],61
Little Talks,Ho Hey,60
Home,Ho Hey,58
Radioactive,Thrift Shop (feat. Wanz),55
Can't Hold Us - feat. Ray Dalton,Blurred Lines,52
Thrift Shop (feat. Wanz),Locked Out Of Heaven,50
Home,Some Nights,50
Titanium (feat. Sia) - feat. Sia,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,40
Radioactive,Sweet Nothing,31
Radioactive,Sail,27
Radioactive,I Will Wait,26
Thrift Shop (feat. Wanz),Ni**as In Paris,25
Can't Hold Us - feat. Ray Dalton,Mirrors,24
Thrift Shop (feat. Wanz),Die Young,22
It's Time,Take a Walk,22
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Somebody That I Used To Know,22
Thrift Shop (feat. Wanz),Scream & Shout,21
Wild Ones (feat. Sia),Titanium (feat. Sia) - feat. Sia,21
Thrift Shop (feat. Wanz),One More Night,21
Titanium (feat. Sia) - feat. Sia,Don't Wake Me Up,20
Radioactive,Daylight,20
Thrift Shop (feat. Wanz),Don't You Worry Child (Radio Edit) [feat. John Martin],19
Starships,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,19
Can't Hold Us - feat. Ray Dalton,Just Give Me a Reason,19
Little Talks,Stubborn Love,18
It's Time,On Top Of The World,18
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Midnight City,18
Radioactive,Too Close,18
Thrift Shop (feat. Wanz),Suit & Tie,18
Some Nights,Good Time,17
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,We Found Love,17
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,What Makes You Beautiful,17
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Party Rock Anthem,17
Feel This Moment,Can't Hold Us - feat. Ray Dalton,17
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Little Lion Man,17
Some Nights,I Won't Give Up,17
Payphone,Titanium (feat. Sia) - feat. Sia,16
Whistle,Thrift Shop (feat. Wanz),16
Radioactive,Cruise,16
Can't Hold Us - feat. Ray Dalton,My Songs Know What You Did In The Dark (Light Em Up),16
Feel So Close - Radio Edit,Titanium (feat. Sia) - feat. Sia,16
Thrift Shop (feat. Wanz),I Cry,15
Some Nights,Gangnam Style (강남스타일),15
Everybody Talks,Little Talks,15
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Where Have You Been,15
Titanium (feat. Sia) - feat. Sia,Boyfriend,15
Call Me Maybe,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,15
Radioactive,Heart Attack,15
Radioactive,Girl On Fire,15
Thrift Shop (feat. Wanz),Mercy,15
Thrift Shop (feat. Wanz),Take Care,14
Anything Could Happen,Little Talks,14
Home,The Cave,14
Radioactive,When I Was Your Man,14
Can't Hold Us - feat. Ray Dalton,Get Lucky - Radio Edit,14
Blurred Lines,Get Lucky,14
Thrift Shop (feat. Wanz),Love Me,14
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Glad You Came,13
Locked Out Of Heaven,Diamonds,13
I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],22,13
"Work Hard, Play Hard",Thrift Shop (feat. Wanz),13
Thrift Shop (feat. Wanz),Started From the Bottom,13
Swimming Pools (Drank),Thrift Shop (feat. Wanz),13
Ho Hey,Hall of Fame,13
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Drive By,13
Radioactive,The Way,12
The A Team,It's Time,12
Titanium (feat. Sia) - feat. Sia,Levels - Radio Edit,12
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Sexy And I Know It,12
Radioactive,Wagon Wheel,12
Forever,Thrift Shop (feat. Wanz),12
"Young, Wild & Free (feat. Bruno Mars) - feat. Bruno Mars",Thrift Shop (feat. Wanz),12
Home,Paradise,11
Home,Electric Feel,11
The Other Side,Can't Hold Us - feat. Ray Dalton,11
Dance (A$$) Remix,Thrift Shop (feat. Wanz),11
The Motto,Thrift Shop (feat. Wanz),11
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Rolling in the Deep,11
Titanium (feat. Sia) - feat. Sia,Turn Me On (feat. Nicki Minaj) - feat. Nicki Minaj,11
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Lights - Single Version,11
Titanium (feat. Sia) - feat. Sia,We Are Never Ever Getting Back Together,11
Carry On,Home,11
Some Nights,Pumped Up Kicks,11
Thrift Shop (feat. Wanz),Harlem Shake,11
Radioactive,Madness,11
Home,Animal,11
It's Time,Tongue Tied,11
