id,label
Pumped Up Kicks,Pumped Up Kicks
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae
Drive By,Drive By
Somebody That I Used To Know,Somebody That I Used To Know
Thrift Shop (feat. Wanz),Thrift Shop (feat. Wanz)
Some Nights,Some Nights
Radioactive,Radioactive
Little Talks,Little Talks
Home,Home
Take a Walk,Take a Walk
Can't Hold Us - feat. Ray Dalton,Can't Hold Us - feat. Ray Dalton
Blurred Lines,Blurred Lines
Midnight City,Midnight City
Little Lion Man,Little Lion Man
Sail,Sail
I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version]
Party Rock Anthem,Party Rock Anthem
Feel So Close - Radio Edit,Feel So Close - Radio Edit
Sexy And I Know It,Sexy And I Know It
What Makes You Beautiful,What Makes You Beautiful
I Won't Give Up,I Won't Give Up
Payphone,Payphone
Lights - Single Version,Lights - Single Version
Where Have You Been,Where Have You Been
Boyfriend,Boyfriend
We Found Love,We Found Love
Glad You Came,Glad You Came
Everybody Talks,Everybody Talks
Ni**as In Paris,Ni**as In Paris
Rolling in the Deep,Rolling in the Deep
Titanium (feat. Sia) - feat. Sia,Titanium (feat. Sia) - feat. Sia
One More Night,One More Night
Ho Hey,Ho Hey
Locked Out Of Heaven,Locked Out Of Heaven
It's Time,It's Time
I Will Wait,I Will Wait
Just Give Me a Reason,Just Give Me a Reason
Too Close,Too Close
Die Young,Die Young
The A Team,The A Team
Good Time,Good Time
Gangnam Style (강남스타일),Gangnam Style (강남스타일)
Don't You Worry Child (Radio Edit) [feat. John Martin],Don't You Worry Child (Radio Edit) [feat. John Martin]
Daylight,Daylight
Cruise,Cruise
On Top Of The World,On Top Of The World
Stubborn Love,Stubborn Love
We Are Never Ever Getting Back Together,We Are Never Ever Getting Back Together
Don't Wake Me Up,Don't Wake Me Up
Starships,Starships
Levels - Radio Edit,Levels - Radio Edit
Turn Me On (feat. Nicki Minaj) - feat. Nicki Minaj,Turn Me On (feat. Nicki Minaj) - feat. Nicki Minaj
Sweet Nothing,Sweet Nothing
Hall of Fame,Hall of Fame
Animal,Animal
Anything Could Happen,Anything Could Happen
Diamonds,Diamonds
Scream & Shout,Scream & Shout
Suit & Tie,Suit & Tie
Tongue Tied,Tongue Tied
Girl On Fire,Girl On Fire
Forever,Forever
The Motto,The Motto
Mercy,Mercy
"Young, Wild & Free (feat. Bruno Mars) - feat. Bruno Mars","Young, Wild & Free (feat. Bruno Mars) - feat. Bruno Mars"
The Cave,The Cave
Electric Feel,Electric Feel
Paradise,Paradise
Swimming Pools (Drank),Swimming Pools (Drank)
Love Me,Love Me
Started From the Bottom,Started From the Bottom
Mirrors,Mirrors
Harlem Shake,Harlem Shake
Take Care,Take Care
I Cry,I Cry
When I Was Your Man,When I Was Your Man
Get Lucky - Radio Edit,Get Lucky - Radio Edit
Heart Attack,Heart Attack
My Songs Know What You Did In The Dark (Light Em Up),My Songs Know What You Did In The Dark (Light Em Up)
"Work Hard, Play Hard","Work Hard, Play Hard"
Wagon Wheel,Wagon Wheel
Madness,Madness
Carry On,Carry On
Feel This Moment,Feel This Moment
The Way,The Way
22,22
Get Lucky,Get Lucky
Wild Ones (feat. Sia),Wild Ones (feat. Sia)
Call Me Maybe,Call Me Maybe
Whistle,Whistle
Dance (A$$) Remix,Dance (A$$) Remix
The Other Side,The Other Side
